,League,Date,Home,Away,Goals_H_FT,Goals_A_FT,Result_FT,Odds_H,Odds_D,Odds_A,Pontos_H,Pontos_A,Total_Goals_FT,Over05_FT,Over15_FT,Over25_FT,Under25_FT,BTTS,Porc_Over05FT_Home,Porc_Over05FT_Away,Porc_Over15FT_Home,Porc_Over15FT_Away,Porc_Over25FT_Home,Porc_Over25FT_Away,Porc_BTTS_Home,Porc_BTTS_Away,Media_Pontos_H,Media_Pontos_A,Media_Gols_Feitos_Home,Media_Gols_Sofridos_Home,Media_Gols_Feitos_Away,Media_Gols_Sofridos_Away
57,Inglaterra 1,03/09/2022,Aston Villa,Man City,1,1,D,8.0,5.5,1.33,1,1,2,1,1,0,1,1,100.0,100.0,66.66666666666666,100.0,33.33333333333333,33.33333333333333,66.66666666666666,66.66666666666666,1.3333333333333333,1.6666666666666667,1.0,1.0,2.0,1.3333333333333333
58,Inglaterra 1,04/09/2022,Brighton,Leicester,5,2,H,1.83,3.5,4.5,3,0,7,1,1,1,0,1,66.66666666666666,100.0,33.33333333333333,100.0,33.33333333333333,100.0,33.33333333333333,100.0,2.3333333333333335,0.0,2.0,0.6666666666666666,1.6666666666666667,3.6666666666666665
59,Inglaterra 1,04/09/2022,Man United,Arsenal,3,1,H,2.5,3.5,2.7,3,0,4,1,1,1,0,1,100.0,100.0,100.0,100.0,100.0,66.66666666666666,100.0,33.33333333333333,2.0,2.0,2.0,1.3333333333333333,2.0,1.0
60,Inglaterra 1,16/09/2022,Aston Villa,Southampton,1,0,H,2.1,3.5,3.5,3,0,1,1,0,0,1,0,100.0,100.0,50.0,50.0,25.0,50.0,50.0,50.0,1.75,0.75,1.0,0.75,0.75,1.75
61,Inglaterra 1,16/09/2022,Nott'm Forest,Fulham,2,3,A,2.75,3.3,2.62,0,3,5,1,1,1,0,1,100.0,75.0,75.0,75.0,50.0,75.0,50.0,75.0,0.75,1.0,1.25,2.0,1.25,1.5
62,Inglaterra 1,17/09/2022,Wolves,Man City,0,3,A,9.5,5.0,1.33,0,3,3,1,1,1,0,0,75.0,100.0,50.0,100.0,25.0,50.0,25.0,50.0,1.25,2.0,0.5,1.0,2.25,1.0
63,Inglaterra 1,17/09/2022,Newcastle,Bournemouth,1,1,D,1.44,4.4,7.5,1,1,2,1,1,0,1,1,75.0,100.0,75.0,100.0,25.0,75.0,50.0,50.0,1.5,1.0,1.5,1.0,1.0,4.0
64,Inglaterra 1,17/09/2022,Tottenham,Leicester,6,2,H,1.45,4.5,7.0,3,0,8,1,1,1,0,1,100.0,100.0,75.0,100.0,75.0,100.0,75.0,100.0,3.0,0.0,3.25,1.0,1.75,4.25
65,Inglaterra 1,18/09/2022,Brentford,Arsenal,0,3,A,4.2,3.8,1.8,0,3,3,1,1,1,0,0,100.0,100.0,100.0,100.0,75.0,75.0,50.0,25.0,1.75,2.25,2.5,1.5,2.25,0.75
66,Inglaterra 1,18/09/2022,Everton,West Ham,1,0,H,2.9,3.25,2.5,3,0,1,1,0,0,1,0,75.0,100.0,25.0,25.0,0.0,25.0,25.0,25.0,1.25,0.75,0.5,0.5,0.5,1.0
67,Inglaterra 1,01/10/2022,Arsenal,Tottenham,3,1,H,2.05,3.75,3.3,3,0,4,1,1,1,0,1,100.0,100.0,100.0,100.0,100.0,50.0,100.0,75.0,3.0,1.25,2.75,1.25,1.5,1.5
68,Inglaterra 1,01/10/2022,Bournemouth,Brentford,0,0,D,3.3,3.4,2.2,1,1,0,0,0,0,1,0,50.0,75.0,50.0,75.0,25.0,50.0,0.0,75.0,1.25,0.75,0.5,0.75,1.25,1.5
69,Inglaterra 1,01/10/2022,Crystal Palace,Chelsea,1,2,A,4.2,3.6,1.85,0,3,3,1,1,1,0,1,100.0,100.0,100.0,75.0,50.0,75.0,75.0,50.0,1.0,1.5,1.25,1.5,1.0,1.5
